Issue code,Issue name,Market type,Company category,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"058820","CMG Pharmaceutical","KOSDAQ","Enterprise of middle standing","1780","-91","-4.86","1889","1898","1750","822452","1485983387","263159085740","147842183"
"388210","CMTX","KOSDAQ","Venture business","119900","-14100","-10.52","136900","136900","116500","173160","21346227400","1146836066200","9564938"
"115530","CNPLUS","KOSDAQ","Enterprise of middle standing","302","-5","-1.63","308","311","298","777602","236129514","21891341572","72487886"
"245450","CNSLINK","KONEX","General Company-Division","1898","-1","-0.05","1899","1899","1615","122","198447","2998764080","1579960"
"056730","CNT85","KOSDAQ","Venture business","439","-15","-3.30","454","454","429","96593","42072523","32534810654","74111186"
"352700","CNTUS","KOSDAQ","Blue chip company","2010","-5","-0.25","2015","2025","1960","20481","40981453","52816566990","26276899"
"036690","COMMAX","KOSDAQ","Issues for administration(none market division)","2885","0","0.00","0","0","0","0","0","125692107675","43567455"
"307930","COMPANY K PARTNERS","KOSDAQ","Enterprise of middle standing","7400","-1580","-17.59","8460","8460","7370","1204246","9534956070","115514000000","15610000"
"451760","CONTEC","KOSDAQ","New growth company","17190","-1880","-9.86","19630","19630","17020","621136","11109550710","271339525890","15784731"
"322780","COPUS KOREA","KOSDAQ","Enterprise of middle standing","480","51","11.89","452","547","448","19100023","9692324563","21435833280","44657986"
"027050","COREANA","KOSDAQ","Enterprise of middle standing","1754","-69","-3.78","1818","1844","1740","142957","253555565","70160000000","40000000"
"166480","CORESTEMCHEMON","KOSDAQ","Venture business","2410","-120","-4.74","2560","2625","2330","304314","743314695","127417606160","52870376"
"192820","COSMAX","KOSPI",,"194500","-5500","-2.75","200000","208000","192500","97867","19545361050","2207479500500","11349509"
"222040","COSMAX NBT","KOSDAQ","Enterprise of middle standing","3920","-250","-6.00","4105","4250","3855","100019","398215838","80861760000","20628000"
"044820","COSMAX bti","KOSPI",,"16190","-450","-2.70","16560","16670","15550","27543","444378440","155487480990","9603921"
"241710","COSMECCA KOREA","KOSDAQ","Blue chip company","77800","-2500","-3.11","80300","82000","76000","84938","6611102100","830904000000","10680000"
"005420","COSMOCHEM","KOSPI",,"15340","-130","-0.84","15710","16780","15150","740521","11903797730","589182217520","38408228"
"448710","COTS Technology","KOSDAQ","Venture business","19490","690","3.67","18910","19830","18750","188022","3629764355","103010341080","5285292"
"021240","COWAY","KOSPI",,"71900","100","0.14","72000","74900","71000","392096","28527897306","5088177929400","70767426"
"056360","COWEAVER","KOSDAQ","Venture business","6950","-460","-6.21","7530","7680","6780","811658","5854390635","68087760000","9796800"
"282880","COWIN","KOSDAQ","Blue chip company","13600","-590","-4.16","14400","14400","13520","56328","779332960","155983432000","11469370"
"360350","COXEM","KOSDAQ","New growth company","16140","-890","-5.23","17220","17320","15840","94956","1562594955","92449435800","5727970"
"413630","CP SYSTEM","KOSDAQ","Venture business","3465","-210","-5.71","3760","3825","3440","449818","1636607946","126252909090","36436626"
"101240","CQV","KOSDAQ","Blue chip company","3800","-65","-1.68","3855","3885","3785","11266","42937485","41273282000","10861390"
